published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,sentiment_score
2010-06-13,226.0,233.0,223.0,226.0,,13110.0,0.0,0,0.0
2010-06-14,226.0,229.0,219.0,222.0,-1.77,7790.0,0.0,0,0.0
2010-06-15,222.0,229.0,218.0,229.0,3.15,9170.0,0.0,0,0.0
2010-06-17,229.0,248.0,233.0,240.0,4.8,7820.0,0.0,0,0.0
2010-06-20,240.0,260.0,239.0,260.0,8.33,7620.0,0.0,0,0.0
2010-06-21,260.0,272.0,247.0,270.0,3.85,9650.0,0.0,0,0.0
2010-06-22,270.0,274.0,260.0,270.0,0.0,15720.0,0.0,0,0.0
2010-06-23,270.0,271.0,251.0,255.0,-5.56,9010.0,0.0,0,0.0
2010-06-26,255.0,255.0,240.0,243.0,-4.71,7000.0,0.0,0,0.0
2010-06-29,243.0,232.0,221.0,232.0,-4.53,6720.0,0.0,0,0.0
2010-06-30,232.0,234.0,220.0,225.0,-3.02,12830.0,0.0,0,0.0
2010-07-01,225.0,239.0,229.0,231.0,2.67,2630.0,0.0,0,0.0
2010-07-04,231.0,233.0,223.0,232.0,0.43,6420.0,0.0,0,0.0
2010-07-05,232.0,236.0,230.0,233.0,0.43,2210.0,0.0,0,0.0
2010-07-06,233.0,233.0,230.0,233.0,0.0,4580.0,0.0,0,0.0
2010-07-07,233.0,240.0,225.0,236.0,1.29,4500.0,0.0,0,0.0
2010-07-08,236.0,244.0,230.0,244.0,3.39,6420.0,0.0,0,0.0
2010-07-11,244.0,245.0,235.0,242.0,-0.82,5520.0,0.0,0,0.0
2010-07-12,242.0,242.0,232.0,238.0,-1.65,1090.0,0.0,0,0.0
2010-07-13,238.0,242.0,235.0,240.0,0.84,3440.0,0.0,0,0.0
2010-07-14,240.0,245.0,240.0,245.0,2.08,2170.0,0.0,0,0.0
2010-07-15,245.0,257.0,242.0,257.0,4.9,4020.0,0.0,0,0.0
2010-07-16,257.0,234.0,225.0,231.0,-10.12,7550.0,0.0,0,0.0
2010-07-18,231.0,258.0,245.0,249.0,7.79,3730.0,0.0,0,0.0
2010-07-19,249.0,252.0,246.0,250.0,0.4,2990.0,0.0,0,0.0
2010-07-20,250.0,253.0,250.0,253.0,1.2,2290.0,0.0,0,0.0
2010-07-22,253.0,265.0,258.0,265.0,4.74,5490.0,0.0,0,0.0
2010-07-25,265.0,270.0,250.0,255.0,-3.77,6700.0,0.0,0,0.0
2010-07-26,255.0,255.0,250.0,251.0,-1.57,4180.0,0.0,0,0.0
2010-07-27,251.0,253.0,248.0,248.0,-1.2,1670.0,0.0,0,0.0
2010-07-27,248.0,275.0,255.0,270.0,8.87,3150.0,0.0,0,0.0
2010-07-28,270.0,250.0,243.0,244.0,-9.63,1050.0,0.0,0,0.0
2010-07-29,244.0,248.0,244.0,245.0,0.41,1050.0,0.0,0,0.0
2010-09-02,245.0,217.0,212.0,215.0,-12.24,2700.0,0.0,0,0.0
2010-09-07,215.0,235.0,224.0,233.0,8.37,6170.0,0.0,0,0.0
2010-09-08,233.0,236.0,232.0,235.0,0.86,870.0,0.0,0,0.0
2010-09-09,235.0,235.0,227.0,227.0,-3.4,2040.0,0.0,0,0.0
2010-09-12,227.0,227.0,221.0,221.0,-2.64,970.0,0.0,0,0.0
2010-09-13,221.0,225.0,223.0,224.0,1.36,540.0,0.0,0,0.0
2010-09-14,224.0,225.0,220.0,220.0,-1.79,1350.0,0.0,0,0.0
2010-09-15,220.0,229.0,220.0,226.0,2.73,1470.0,0.0,0,0.0
2010-09-16,226.0,228.0,222.0,228.0,0.88,2380.0,0.0,0,0.0
2010-09-19,228.0,224.0,220.0,220.0,-3.51,390.0,0.0,0,0.0
2010-09-20,220.0,225.0,220.0,225.0,2.27,1260.0,0.0,0,0.0
2010-09-21,225.0,227.0,223.0,225.0,0.0,2250.0,0.0,0,0.0
2010-09-23,225.0,225.0,222.0,223.0,-0.89,2540.0,0.0,0,0.0
2010-09-26,223.0,225.0,225.0,225.0,0.9,500.0,0.0,0,0.0
2010-09-27,225.0,227.0,222.0,227.0,0.89,1390.0,0.0,0,0.0
2010-09-28,227.0,227.0,225.0,226.0,-0.44,2950.0,0.0,0,0.0
2010-09-29,226.0,226.0,223.0,224.0,-0.88,1490.0,0.0,0,0.0
2010-09-30,224.0,232.0,220.0,232.0,3.57,1200.0,0.0,0,0.0
2010-10-03,232.0,232.0,222.0,222.0,-4.31,850.0,0.0,0,0.0
2010-10-04,222.0,233.0,222.0,233.0,4.95,1000.0,0.0,0,0.0
2010-10-05,233.0,240.0,230.0,232.0,-0.43,1170.0,0.0,0,0.0
2010-10-06,232.0,232.0,227.0,230.0,-0.86,670.0,0.0,0,0.0
2010-10-07,230.0,240.0,230.0,240.0,4.35,1320.0,0.0,0,0.0
2010-10-10,240.0,243.0,236.0,243.0,1.25,820.0,0.0,0,0.0
2010-10-11,243.0,251.0,241.0,245.0,0.82,1800.0,0.0,0,0.0
2010-10-12,245.0,246.0,241.0,246.0,0.41,1240.0,0.0,0,0.0
2010-10-20,246.0,250.0,246.0,246.0,0.0,90.0,0.0,0,0.0
2010-10-21,246.0,242.0,242.0,242.0,-1.63,40.0,0.0,0,0.0
2010-10-24,242.0,246.0,242.0,246.0,1.65,690.0,0.0,0,0.0
2010-10-25,246.0,242.0,242.0,242.0,-1.63,100.0,0.0,0,0.0
2010-10-26,242.0,244.0,239.0,242.0,0.0,640.0,0.0,0,0.0
2010-10-27,242.0,246.0,238.0,244.0,0.83,1250.0,0.0,0,0.0
2010-10-28,244.0,243.0,243.0,243.0,-0.41,30.0,0.0,0,0.0
2010-10-31,243.0,244.0,232.0,244.0,0.41,4400.0,0.0,0,0.0
2010-11-01,244.0,242.0,240.0,241.0,-1.23,1220.0,0.0,0,0.0
2010-11-02,241.0,245.0,237.0,245.0,1.66,670.0,0.0,0,0.0
2010-11-03,245.0,245.0,239.0,241.0,-1.63,210.0,0.0,0,0.0
2010-11-04,241.0,255.0,240.0,255.0,5.81,2160.0,0.0,0,0.0
2010-11-09,255.0,275.0,250.0,250.0,-1.96,5100.0,0.0,0,0.0
2010-11-10,250.0,262.0,245.0,252.0,0.8,4700.0,0.0,0,0.0
2010-11-11,252.0,260.0,255.0,260.0,3.17,240.0,0.0,0,0.0
2010-11-14,260.0,265.0,257.0,262.0,0.77,1440.0,0.0,0,0.0
2010-11-15,262.0,267.0,260.0,263.0,0.38,3160.0,0.0,0,0.0
2010-11-16,263.0,270.0,260.0,270.0,2.66,1710.0,0.0,0,0.0
2010-11-18,270.0,269.0,265.0,269.0,-0.37,870.0,0.0,0,0.0
2010-11-21,269.0,295.0,274.0,274.0,1.86,5610.0,0.0,0,0.0
2010-11-22,274.0,278.0,265.0,265.0,-3.28,4290.0,0.0,0,0.0
2010-11-23,265.0,275.0,261.0,275.0,3.77,2960.0,0.0,0,0.0
2010-11-24,275.0,287.0,271.0,285.0,3.64,5070.0,0.0,0,0.0
2010-11-25,285.0,289.0,283.0,283.0,-0.7,2630.0,0.0,0,0.0
2010-11-28,283.0,285.0,271.0,271.0,-4.24,1580.0,0.0,0,0.0
2010-11-29,271.0,280.0,265.0,265.0,-2.21,3820.0,0.0,0,0.0
2010-11-30,265.0,275.0,260.0,265.0,0.0,4480.0,0.0,0,0.0
2010-12-01,265.0,268.0,261.0,261.0,-1.51,3590.0,0.0,0,0.0
2010-12-02,261.0,266.0,261.0,264.0,1.15,4110.0,0.0,0,0.0
2010-12-05,264.0,269.0,262.0,265.0,0.38,6250.0,0.0,0,0.0
2010-12-06,265.0,265.0,262.0,265.0,0.0,2320.0,0.0,0,0.0
2010-12-07,265.0,263.0,260.0,262.0,-1.13,400.0,0.0,0,0.0
2010-12-08,262.0,265.0,255.0,260.0,-0.76,2170.0,0.0,0,0.0
2010-12-09,260.0,265.0,259.0,265.0,1.92,1380.0,0.0,0,0.0
2010-12-12,265.0,270.0,256.0,256.0,-3.4,1380.0,0.0,0,0.0
2010-12-13,256.0,254.0,250.0,254.0,-0.78,700.0,0.0,0,0.0
2010-12-14,254.0,255.0,249.0,255.0,0.39,240.0,0.0,0,0.0
2010-12-15,255.0,255.0,250.0,253.0,-0.78,910.0,0.0,0,0.0
2010-12-16,253.0,255.0,249.0,255.0,0.79,1230.0,0.0,0,0.0
2010-12-19,255.0,257.0,253.0,255.0,0.0,720.0,0.0,0,0.0
2010-12-20,255.0,258.0,250.0,258.0,1.18,940.0,0.0,0,0.0
2010-12-22,258.0,255.0,250.0,250.0,-3.1,1070.0,0.0,0,0.0
2010-12-23,250.0,260.0,251.0,260.0,4.0,690.0,0.0,0,0.0
2010-12-26,260.0,262.0,260.0,262.0,0.77,310.0,0.0,0,0.0
2010-12-27,262.0,260.0,256.0,256.0,-2.29,1070.0,0.0,0,0.0
2010-12-28,256.0,258.0,253.0,255.0,-0.39,890.0,0.0,0,0.0
2010-12-29,255.0,256.0,248.0,253.0,-0.78,2330.0,0.0,0,0.0
2011-01-02,253.0,255.0,244.0,252.0,-0.4,1600.0,0.0,0,0.0
2011-01-03,252.0,245.0,241.0,241.0,-4.37,90.0,0.0,0,0.0
2011-01-03,241.0,262.0,255.0,260.0,7.88,2040.0,0.0,0,0.0
2011-01-04,260.0,260.0,249.0,260.0,0.0,1060.0,0.0,0,0.0
2011-01-05,260.0,256.0,250.0,251.0,-3.46,570.0,0.0,0,0.0
2011-01-06,251.0,260.0,245.0,260.0,3.59,1030.0,0.0,0,0.0
2011-01-09,260.0,257.0,257.0,257.0,-1.15,230.0,0.0,0,0.0
