published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,sentiment_score
2019-06-12,85.0,87.0,85.0,86.0,0.0,500.0,42780.0,0,0.14492
2019-06-13,85.0,87.0,85.0,86.0,0.0,320.0,27310.0,0,0.35416000000000003
2019-06-16,90.0,90.0,83.0,83.0,-3.49,1010.0,84455.0,-1,0.11345999999999998
2019-06-17,84.0,84.0,82.0,82.0,-1.2,240.0,19980.0,-1,0.23031000000000001
2019-06-18,81.0,85.0,80.0,84.0,2.44,430.0,35850.0,1,-0.03452000000000001
2019-06-19,83.0,83.0,80.0,81.0,-3.57,660.0,53690.0,-1,-0.006020000000000009
2019-06-20,81.0,83.0,81.0,82.0,1.23,300.0,24570.0,1,0.2859
2019-06-23,81.0,82.0,81.0,82.0,0.0,160.0,13100.0,0,0.31742
2019-06-24,82.0,84.0,81.0,84.0,2.44,980.0,80470.0,1,0.26189999999999997
2019-06-25,84.0,84.0,83.0,83.0,-1.19,50.0,4170.0,-1,0.17725
2019-06-26,82.0,82.0,80.0,81.0,-2.41,300.0,24325.0,-1,0.06527000000000001
2019-06-27,80.0,80.0,78.0,80.0,-1.23,320.0,25320.0,-1,0.21595
2019-06-30,79.0,81.0,79.0,81.0,1.25,190.0,15090.0,1,0.12307000000000001
2019-07-01,80.0,80.0,79.0,80.0,-1.23,310.0,24760.0,-1,0.27244
2019-07-02,80.0,81.0,80.0,80.0,0.0,250.0,20060.0,0,0.14538
2019-07-03,79.0,80.0,79.0,79.0,-1.25,220.0,17460.0,-1,0.26924000000000003
2019-07-04,80.0,80.0,80.0,80.0,1.27,240.0,19200.0,1,0.18899
2019-07-07,81.0,83.0,81.0,83.0,3.75,190.0,15580.0,1,0.19958
2019-07-08,84.0,87.0,84.0,86.0,3.61,740.0,63350.0,1,0.21388
2019-07-09,86.0,90.0,86.0,89.0,3.49,630.0,55630.0,1,0.30886
2019-07-10,88.0,88.0,86.0,86.0,-3.37,160.0,13990.0,-1,0.17173999999999998
2019-07-11,86.0,88.0,86.0,88.0,2.33,276.0,24036.0,1,0.14021999999999998
2019-07-14,89.0,89.0,86.0,87.0,-1.14,310.0,27080.0,-1,0.13409999999999997
2019-07-15,86.0,87.0,85.0,85.0,-2.3,465.0,40070.0,-1,0.18200999999999998
2019-07-16,86.0,86.0,84.0,84.0,-1.18,430.0,36350.0,-1,0.28588
2019-07-17,85.0,85.0,84.0,84.0,0.0,470.0,39610.0,0,0.24131999999999998
2019-07-18,84.0,84.0,84.0,84.0,0.0,90.0,7560.0,0,0.32188
2019-07-21,84.0,85.0,84.0,85.0,1.19,30.0,2540.0,1,0.11137000000000001
2019-07-22,84.0,86.0,84.0,86.0,1.18,70.0,5950.0,1,0.23913
2019-07-23,85.0,89.0,85.0,89.0,3.49,390.0,33900.0,1,0.43251999999999996
2019-07-24,90.0,93.0,90.0,93.0,4.49,825.0,76220.0,1,0.29573
2019-07-25,92.0,93.0,90.0,90.0,-3.23,440.0,40370.0,-1,0.13718999999999998
2019-07-28,89.0,89.0,86.0,86.0,-4.44,220.0,19070.0,-1,0.36222
2019-07-29,85.0,85.0,85.0,85.0,-1.16,190.0,16150.0,-1,0.24358
2019-07-30,84.0,84.0,83.0,84.0,-1.18,180.0,15030.0,-1,0.40812
2019-07-31,83.0,85.0,83.0,85.0,1.19,210.0,17620.0,1,0.25755
2019-08-01,85.0,86.0,83.0,83.0,-2.35,540.0,45650.0,-1,0.32345
2019-08-04,84.0,84.0,82.0,83.0,0.0,490.0,40690.0,0,0.2833
2019-08-05,82.0,86.0,82.0,83.0,0.0,1300.0,109060.0,0,0.2905
2019-08-06,83.0,84.0,83.0,83.0,0.0,170.0,14140.0,0,0.23001999999999997
2019-08-07,84.0,84.0,82.0,83.0,0.0,310.0,25690.0,0,0.07374999999999998
2019-08-08,82.0,83.0,81.0,82.0,-1.2,290.0,23840.0,-1,0.28291
