published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,sentiment_score
2011-03-29,725.0,725.0,725.0,725.0,,60.0,43500.0,0,0.04228571428571428
2011-03-31,725.0,715.0,715.0,715.0,-1.38,20.0,14300.0,0,-0.12448000000000001
2011-04-18,715.0,701.0,701.0,701.0,-1.96,450.0,315450.0,0,0.12047999999999999
2011-04-27,701.0,701.0,701.0,701.0,0.0,30.0,21030.0,0,0.1305
2011-05-02,701.0,687.0,648.0,648.0,-7.56,3083.0,2024499.0,0,-0.08303333333333333
2011-05-03,648.0,648.0,648.0,648.0,0.0,30.0,19440.0,0,-0.12356
2011-05-05,648.0,660.0,660.0,660.0,1.85,100.0,66000.0,0,0.07153999999999999
2011-05-12,660.0,647.0,640.0,640.0,-3.03,130.0,83900.0,0,0.10061
2011-05-15,640.0,660.0,647.0,647.0,1.09,235.0,154290.0,0,0.19192857142857142
2011-05-19,647.0,635.0,635.0,635.0,-1.85,15.0,9525.0,0,0.09601
2011-05-24,635.0,630.0,630.0,630.0,-0.79,30.0,18900.0,0,0.0002375000000000016
2011-05-30,630.0,618.0,606.0,606.0,-3.81,88.0,53688.0,0,-0.017560000000000003
2011-06-13,606.0,594.0,594.0,594.0,-1.98,100.0,59400.0,0,-0.04741
2011-06-14,594.0,583.0,572.0,572.0,-3.7,60.0,34716.0,0,-0.05593
2011-06-15,572.0,561.0,561.0,561.0,-1.92,24.0,13464.0,0,0.017610000000000004
2011-06-16,561.0,561.0,558.0,558.0,-0.53,930.0,521685.0,0,0.02144
2011-06-23,590.0,647.0,601.0,647.0,15.95,109.0,68741.0,0,0.07529999999999999
2011-06-26,647.0,659.0,659.0,659.0,1.85,59.0,38881.0,0,0.14732
2011-06-29,659.0,672.0,659.0,659.0,0.0,220.0,145240.0,0,-0.11054
2011-06-30,659.0,646.0,640.0,640.0,-2.88,250.0,160600.0,0,0.20305
2011-07-03,640.0,628.0,616.0,616.0,-3.75,290.0,179960.0,0,0.10641250000000001
2011-07-04,616.0,605.0,605.0,605.0,-1.79,143.0,86515.0,0,-0.05622222222222222
2011-07-06,605.0,600.0,600.0,600.0,-0.83,20.0,12000.0,0,-0.0023599999999999927
2011-07-12,600.0,599.0,577.0,599.0,-0.17,95.0,55860.0,0,-0.1177
2011-07-13,599.0,588.0,577.0,577.0,-3.67,30.0,17475.0,0,0.024250000000000004
2011-07-14,577.0,566.0,566.0,566.0,-1.91,30.0,16980.0,0,0.15350999999999998
2011-07-18,566.0,577.0,577.0,577.0,1.94,17.0,9809.0,0,0.008919999999999994
2011-07-20,577.0,600.0,588.0,600.0,3.99,641.0,377952.0,0,0.11991
2011-07-21,600.0,600.0,590.0,591.0,-1.5,125.0,74295.0,0,0.144
2011-07-24,591.0,585.0,585.0,585.0,-1.02,23.0,13455.0,0,0.07795
2011-07-25,585.0,577.0,575.0,577.0,-1.37,55.0,31675.0,0,0.1650125
2011-07-31,577.0,577.0,577.0,577.0,0.0,453.0,261381.0,0,0.03783
2011-08-02,577.0,610.0,588.0,610.0,5.72,62.0,37116.0,0,-0.0276625
2011-08-03,610.0,601.0,601.0,601.0,-1.48,125.0,75125.0,0,0.12383999999999999
2011-08-08,601.0,600.0,600.0,600.0,-0.17,156.0,93600.0,0,-0.032729999999999995
2011-08-09,600.0,600.0,595.0,600.0,0.0,306.0,182250.0,0,0.054339999999999986
2011-08-16,600.0,610.0,610.0,610.0,1.67,345.0,210450.0,0,0.19045
2011-08-17,610.0,610.0,610.0,610.0,0.0,30.0,18300.0,0,0.18136000000000002
2011-08-23,610.0,601.0,598.0,601.0,-1.48,120.0,71865.0,0,0.05061
2011-08-24,601.0,600.0,600.0,600.0,-0.17,100.0,60000.0,0,0.17088
2011-08-28,600.0,590.0,580.0,580.0,-3.33,75.0,43650.0,0,0.10061
2011-08-29,580.0,570.0,570.0,570.0,-1.72,2655.0,1513350.0,0,0.008919999999999994
2011-08-30,570.0,559.0,559.0,559.0,-1.93,12.0,6708.0,0,0.04215
2011-09-01,559.0,570.0,559.0,570.0,1.97,375.0,213585.0,0,0.3852166666666667
2011-09-04,570.0,570.0,570.0,570.0,0.0,30.0,17100.0,0,0.009149999999999997
2011-09-06,570.0,560.0,560.0,560.0,-1.75,27.0,15120.0,0,0.11420000000000001
2011-09-07,560.0,550.0,550.0,550.0,-1.79,60.0,33000.0,0,0.20054
2011-09-13,550.0,550.0,539.0,539.0,-2.0,147.0,79395.0,0,0.03494444444444444
2011-09-18,539.0,529.0,529.0,529.0,-1.86,45.0,23805.0,0,-0.16546666666666668
2011-09-19,529.0,525.0,525.0,525.0,-0.76,15.0,7875.0,0,0.0836
2011-09-25,525.0,545.0,535.0,545.0,3.81,40.0,21600.0,0,0.05126666666666666
2011-09-26,545.0,535.0,535.0,535.0,-1.83,42.0,22470.0,0,-0.029820000000000003
2011-09-29,535.0,545.0,545.0,545.0,1.87,15.0,8175.0,0,-0.002650000000000011
2011-10-09,545.0,545.0,545.0,545.0,0.0,12.0,6540.0,0,0.0
2011-10-10,545.0,545.0,545.0,545.0,0.0,15.0,8175.0,0,0.11786666666666666
2011-10-24,545.0,555.0,555.0,555.0,1.83,30.0,16650.0,0,0.09652999999999999
2011-11-02,555.0,565.0,565.0,565.0,1.8,20.0,11300.0,0,0.13686
2011-11-03,565.0,595.0,576.0,595.0,5.31,50.0,29400.0,0,0.14750000000000002
2011-11-06,595.0,606.0,596.0,606.0,1.85,34.0,20364.0,0,0.2766375
2011-11-08,606.0,615.0,610.0,615.0,1.49,225.0,137450.0,0,-0.13620000000000002
2011-11-09,615.0,615.0,603.0,615.0,0.0,133.0,81555.0,0,0.15706
2011-11-10,615.0,664.0,620.0,660.0,7.32,635.0,416410.0,0,0.29565
2011-11-13,660.0,673.0,670.0,670.0,1.52,414.0,278002.0,0,-0.015049999999999997
2011-11-14,670.0,657.0,635.0,635.0,-5.22,224.0,146608.0,0,0.11909
2011-11-15,635.0,623.0,600.0,600.0,-5.51,4020.0,2412340.0,0,0.12885
2011-11-16,600.0,610.0,600.0,600.0,0.0,788.0,473800.0,0,0.1726
2011-11-17,600.0,612.0,600.0,612.0,2.0,2015.0,1209180.0,0,0.26659
2011-11-20,612.0,600.0,600.0,600.0,-1.96,840.0,504000.0,0,0.16753
2011-11-21,600.0,610.0,601.0,610.0,1.67,27.0,16362.0,0,-0.023180000000000006
2011-11-24,610.0,601.0,590.0,590.0,-3.28,117.0,69712.0,0,0.08374999999999999
2011-11-27,590.0,601.0,601.0,601.0,1.86,24.0,14424.0,0,0.09670000000000001
2011-11-28,601.0,602.0,602.0,602.0,0.17,50.0,30100.0,0,-0.18818
2011-12-06,602.0,606.0,595.0,606.0,0.66,503.0,300538.0,0,0.14048
2011-12-07,606.0,605.0,600.0,600.0,-0.99,686.0,414284.0,0,0.04725714285714285
2011-12-15,600.0,589.0,589.0,589.0,-1.83,24.0,14136.0,0,0.0005500000000000005
2011-12-20,589.0,590.0,590.0,590.0,0.17,24.0,14160.0,0,-0.19876
2011-12-27,590.0,579.0,579.0,579.0,-1.86,24.0,13896.0,0,-0.08917142857142857
2011-12-28,579.0,590.0,590.0,590.0,1.9,165.0,97350.0,0,-0.1348
2011-12-29,590.0,600.0,599.0,600.0,1.69,330.0,197685.0,0,-0.06353
2012-01-04,600.0,589.0,558.0,558.0,-7.0,3045.0,1700040.0,0,0.13688999999999998
2012-01-05,558.0,569.0,569.0,569.0,1.97,375.0,213375.0,0,0.17781000000000002
2012-01-12,569.0,615.0,580.0,615.0,8.08,250.0,150515.0,0,-0.1004888888888889
2012-01-16,615.0,627.0,627.0,627.0,1.95,200.0,125400.0,0,0.12262222222222222
2012-01-17,627.0,627.0,615.0,627.0,0.0,80.0,49440.0,0,-0.24306999999999998
2012-01-22,627.0,625.0,625.0,625.0,-0.32,45.0,28125.0,0,0.021229999999999992
2012-01-23,625.0,627.0,621.0,621.0,-0.64,525.0,329025.0,0,0.014449999999999996
2012-01-26,621.0,621.0,621.0,621.0,0.0,376.0,233496.0,0,0.11522999999999999
2012-01-29,621.0,622.0,620.0,622.0,0.16,150.0,93060.0,0,-0.05688
2012-01-31,622.0,632.0,620.0,632.0,1.61,250.0,156080.0,0,0.06008
